"claim","page","source","verified?","action taken"
"150+ Active Students","/en","messages/en.json hero.stats","No supporting records","Removed"
"700+ Monthly Sessions","/en","messages/en.json hero.stats","No supporting records","Removed"
"30+ Specialized Tutors","/en","messages/en.json hero.stats","No supporting records","Removed"
"{""value"":""4.9"",""count"":""2,000+ reviews""}","/en","messages/en.json hero.rating","No platform source","Removed"
"{""name"":""Eya Ad"",""role"":""Facebook comment"",""quote"":""A team that deserves every thanks and encouragement. They are highly professional, punctual, respectful in their communication, attentive, and committed to consistent follow-up."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Zain Al"",""role"":""Facebook comment"",""quote"":""Thank you to everyone and to Mr. Mustafa for their respectful communication, excellent cooperation, and friendly approach. My son is very happy learning with them."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Abir Joulan"",""role"":""Facebook comment"",""quote"":""Thank you for your efforts and commitment to lesson times. The teaching has been excellent, and special thanks to Ms. Shaimaa for teaching my daughter. We truly appreciate everything you provide."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Zozaa Zena"",""role"":""Facebook comment"",""quote"":""Thank you to Mr. Mustafa and the entire teaching team. Their communication and treatment of families are among the best. Thank you all."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Mohamad Alsakka"",""role"":""Facebook comment"",""quote"":""An excellent approach, reasonable prices, and a team that works closely with parents to improve each child's educational level."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Kal Ebrahim"",""role"":""Facebook comment"",""quote"":""Thank you to Mr. Mustafa for his teaching approach and cooperation with students. His engaging method motivates students to study, understand the subject more easily, and work toward higher grades."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Alaa Badran"",""role"":""Facebook comment"",""quote"":""They are among the best teachers—honest and extremely cooperative. My children really like them, and they have helped us overcome many learning challenges."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Kenda Sal"",""role"":""Facebook comment"",""quote"":""Many thanks to the outstanding and cooperative teaching team for understanding students' circumstances. My son Mohammad began to enjoy mathematics and his level improved because of his teacher's engaging and enjoyable teaching style."",""rating"":5}","/en","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Mohammad's Parent"",""role"":""Parent — Grade 5"",""quote"":""My son's level improved significantly within two months."",""videoSrc"":""https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB""}","/en","https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Khaled Al-Harawi"",""role"":""Parent — Grade 9"",""quote"":""The regular follow-up made a real difference for my son."",""videoSrc"":""https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB""}","/en","https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Sarah Ahmad"",""role"":""Parent — Grade 3"",""quote"":""A professional teacher and excellent communication."",""videoSrc"":""https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB""}","/en","https://youtu.be/Abguz4XunJA?si=4SyHnvvwwofNFIgB","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""value"":""700+"",""label"":""Online sessions delivered monthly""}","/en","Static translation","No supporting records","Replaced with factual online lesson label"
"150+ طالب نشط","/ar","messages/ar.json hero.stats","No supporting records","Removed"
"700+ حصة شهرياً","/ar","messages/ar.json hero.stats","No supporting records","Removed"
"30+ مدرس متخصص","/ar","messages/ar.json hero.stats","No supporting records","Removed"
"{""value"":""4.9"",""count"":""أكثر من 2,000 تقييم""}","/ar","messages/ar.json hero.rating","No platform source","Removed"
"{""name"":""Eya Ad"",""role"":""تعليق عبر فيسبوك"",""quote"":""فريق يستحق كل الشكر والتشجيع؛ مهنية عالية، والتزام بالمواعيد، وتعامل راقٍ، ومتابعة واهتمام."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Zain Al"",""role"":""تعليق عبر فيسبوك"",""quote"":""شكراً للجميع وللأستاذ مصطفى على تعاملهم الراقي وتعاونهم الكبير وأسلوبهم الجميل. شكراً جزيلاً، وابني مبسوط معهم."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Abir Joulan"",""role"":""تعليق عبر فيسبوك"",""quote"":""شكراً لكم على مجهودكم والتزامكم بالمواعيد. التدريس أكثر من رائع، وشكراً للأستاذة شيماء على تدريسها لابنتي. نسأل الله أن يبارك في عطائكم ويجزيكم خير الجزاء."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Zozaa Zena"",""role"":""تعليق عبر فيسبوك"",""quote"":""شكراً للأستاذ مصطفى ولجميع الكادر التدريسي. ما شاء الله، تعاملهم من أفضل ما يكون. شكراً لكم.""}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Mohamad Alsakka"",""role"":""تعليق عبر فيسبوك"",""quote"":""أسلوب رائع وأسعار جيدة، ومتعاونون جداً مع الأهل لتطوير المستوى التعليمي للطفل."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Kal Ebrahim"",""role"":""تعليق عبر فيسبوك"",""quote"":""شكراً للأستاذ مصطفى على أسلوبه وطريقة تدريسه وتعاونه مع الطلاب. طريقة تدريس متميزة تحفّز الطالب على الدراسة وفهم المادة بسهولة للحصول على درجات عالية."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
"{""name"":""Alaa Badran"",""role"":""تعليق عبر فيسبوك"",""quote"":""من أحسن المدرسين، صادقون ومتعاونون جداً. أولادي يحبونهم، والحمد لله ساعدوني في حل مشكلات كثيرة. الله يعطيهم ألف عافية ويقويهم."",""rating"":5}","/ar","Static translation; Facebook label without permalink","Identity / attribution / rating not verified","Withheld from public rendering; text preserved unchanged in source"
